file,zone,owner,disposition,reason
assets/city/future-regions/storm-sector/audio/charged-wind.wav,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/audio/relay-hum.wav,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/audio/storm-distance.wav,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/atmospheric-stabilizer-lod0.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/atmospheric-stabilizer-lod1.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/atmospheric-stabilizer-lod2.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/charged-transit-gate-lod0.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/charged-transit-gate-lod1.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/charged-transit-gate-lod2.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/storm-command-spire-lod0.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/storm-command-spire-lod1.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/models/storm-command-spire-lod2.glb,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/city/future-regions/storm-sector/storm-sector-package.json,green,EONCITY authored assets,keep-content-addressed,Isolated authored City/Expanse asset.
assets/js/city/w731/eon-city-w731-command-hub-runtime.js,amber,EONCITY runtime,keep-active-adapt-no-rewrite,Active City/Expanse source with Core-boundary review required.
assets/js/city/w766/eon-expanse-w766a-foundation.js,amber,EONCITY runtime,keep-active-adapt-no-rewrite,Active City/Expanse source with Core-boundary review required.
assets/js/city/w766/eon-expanse-w766a-gateway-overlook.js,amber,EONCITY runtime,keep-active-adapt-no-rewrite,Active City/Expanse source with Core-boundary review required.
assets/js/city/w766/eon-expanse-w766b-hero-assets.js,amber,EONCITY runtime,keep-active-adapt-no-rewrite,Active City/Expanse source with Core-boundary review required.
assets/js/city/w766/eon-expanse-w766b-signal-frontier.js,amber,EONCITY runtime,keep-active-adapt-no-rewrite,Active City/Expanse source with Core-boundary review required.
assets/js/city/w766/eon-expanse-w766d-npc-transit.js,amber,EONCITY runtime,keep-active-adapt-no-rewrite,Active City/Expanse source with Core-boundary review required.
assets/js/city/w766/eon-expanse-w766e-mission-runtime.js,amber,EONCITY runtime,keep-active-adapt-no-rewrite,Active City/Expanse source with Core-boundary review required.
